Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
1392730000.0,677972245.0,714757755.0,20.53724137931034,7.601206896551723,9.0,28.6200008392334,26.7700004577637,24.2350006103516,28.2670001983643,4.41699981689453,13608151864637.9,8.678595015830979,-51298699628.7326,978452524165.819,1081.5719123232268,22.8963817902153,76.19176385018747,2018,China
1386395000.0,674707818.0,711687182.0,12.43,7.11,9.0,28.9790000915527,26.9799995422363,24.4379997253418,28.7910003662109,4.40000009536743,12143491448186.1,4.7829250871029,-9688110315.44061,918794756465.645,1081.5719123232268,22.8963817902153,76.19176385018747,2017,China
1378665000.0,670780903.0,707884097.0,12.95,7.09,9.0,29.1399993896484,27.7000007629395,25.117000579834,29.1410007476807,4.5,11137945669350.6,7.47558804889172,-44951463616.5249,905097449017.985,1081.5719123232268,22.8963817902153,76.19176385018747,2016,China
1371220000.0,667009225.0,704210775.0,12.07,7.11,9.0,29.1550006866455,28.5919990539551,25.9699993133545,29.3159999847412,4.59999990463257,11015542352468.9,7.44985052494727,-41788839823.3641,927733440385.388,1081.5719123232268,12.4133525698911,76.19176385018747,2015,China
1364270000.0,663493378.0,700776622.0,12.37,7.16,9.0,29.3560009002686,29.5,26.8279991149902,29.7159996032715,4.59999990463257,10438529153237.6,7.16207672501785,13298824755.0217,905464400820.393,3927.04449998901,12.2238230065824,87.6704307681854,2014,China
1357380000.0,660023537.0,697356463.0,12.08,7.16,9.0,28.867000579834,31.3999996185303,28.6439990997314,29.4050006866455,4.59999990463257,9570405758739.79,5.78418218756649,-77826915006.9402,855871719551.954,3773.40538390134,11.8381669000852,88.2374925685652,2013,China
1350695000.0,656677290.0,694017710.0,12.1,7.15,9.0,28.3229999542236,33.5999984741211,30.7509994506836,29.0580005645752,4.59999990463257,8532230724141.76,9.86802065155463,-19818449693.4556,777600874483.152,3474.98806170157,11.9685670286267,88.4191622067537,2012,China
1344130000.0,653422748.0,690707252.0,11.93,7.14,9.0,28.1480007171631,34.7999992370605,31.9069995880127,29.0440006256104,4.5,7551500425597.77,4.99674403419137,-70376847481.235,693049601485.723,3298.00391331196,11.6957969853632,88.8983629317114,2011,China
1337705000.0,650275748.0,687429252.0,11.9,7.11,9.0,27.5429992675781,36.7000007629395,33.7529983520508,28.5869998931885,4.5,6087164527421.24,8.22559730633314,-26072699880.3598,567638066259.989,2943.58995443689,12.8843103068778,88.2551986732039,2010,China
1331260000.0,647159372.0,684100628.0,12.13,7.08,9.0,27.1889991760254,38.0999984741211,35.1259994506836,28.3729991912842,4.69999980926514,5101702432883.45,13.0993359557177,-8531194191.52736,491609333372.369,2612.45662004417,13.9119622748916,87.635694692845,2009,China
